ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0002324	myoepithelial cell of mammary gland	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|polyA plus RNA-seq	11
CL:0002326	luminal epithelial cell of mammary gland	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K9me3|polyA plus RNA-seq	9
CL:0002327	mammary epithelial cell	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|TF ChIP-seq EZH2|hCAGE CL:0002327|polyA plus RNA-seq|total RNA-seq	25
CL:0002328	bronchial epithelial cell	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|hCAGE CL:0002328|total RNA-seq	11
CL:0002351	progenitor cell of endocrine pancreas	in_vitro_differentiated_cells	embryonic		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|TF ChIP-seq CTCF|total RNA-seq	7
CL:0002363	keratocyte	primary_cell			cage	hCAGE CL:0002363	2
CL:0002366	myometrial cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	total RNA-seq	5
CL:0002367	trabecular meshwork cell	primary_cell			cage	hCAGE CL:0002367	2
CL:0002368	airway epithelial cell	primary_cell	unknown		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002368|total RNA-seq	7
CL:0002372	myotube	in_vitro_differentiated_cells	unknown		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|hCAGE CL:0002372|total RNA-seq	17
CL:0002397	CD14-positive, CD16-positive monocyte	primary_cell			cage	LQhCAGE CL:0002397|hCAGE CL:0002397	4
CL:0002451	mammary stem cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	polyA plus RNA-seq	5
CL:0002453	oligodendrocyte precursor cell	primary_cell			cage	hCAGE CL:0002453	2
CL:0002504	enteric smooth muscle cell	primary_cell			cage	hCAGE CL:0002504	2
CL:0002518	kidney epithelial cell	primary_cell	embryonic,newborn		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|total RNA-seq	9
CL:0002521	subcutaneous fat cell	primary_cell			cage	hCAGE CL:0002521	2
CL:0002536	amniotic epithelial cell	primary_cell	unknown		cage,dnase	DNase-seq|hCAGE CL:0002536	3
CL:0002537	amnion mesenchymal stem cell	primary_cell			cage	hCAGE CL:0002537	2
CL:0002539	aortic smooth muscle cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002539|total RNA-seq	7
CL:0002540	mesenchymal stem cell of the bone marrow	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002540|total RNA-seq	7
CL:0002543	vein endothelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002543|total RNA-seq	7
CL:0002544	aortic endothelial cell	primary_cell			cage	hCAGE CL:0002544	2
CL:0002545	thoracic aorta endothelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002545|total RNA-seq	7
CL:0002547	fibroblast of the aortic adventitia	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|hCAGE CL:0002547|total RNA-seq	10
CL:0002548	cardiac fibroblast	primary_cell	adult		cage,chip_histone,chip_tf,dnase	DNase-seq|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|hCAGE CL:0002548	5
CL:0002549	fibroblast of choroid plexus	primary_cell			cage	hCAGE CL:0002549	2
CL:0002550	fibroblast of the conjuctiva	primary_cell	unknown		cage,dnase	DNase-seq|hCAGE CL:0002550	3
